"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50162450","SAKS OFF 5TH CAFE","Manhattan","125","EAST   57 STREET","10022","2014709645",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.76117178332","-73.969703082594","105","04","011203","1036904","1013120015","MN19","POINT (-73.969703082594 40.76117178332)"
"50179504","TALKIN' TACOS","Brooklyn","311","6 AVENUE","11215","9296618631",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.672059751755","-73.980562150767","306","39","015500","3020986","3009760006","BK37","POINT (-73.980562150767 40.672059751755)"
"50187080","METRO PIZZA","Staten Island","1218","FOREST AVENUE","10310","9175593415",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.626355140625","-74.130445275924","501","50","015100","5104902","5003540040","SI07","POINT (-74.130445275924 40.626355140625)"
"50006236","FRENCH LOUIE","0","320","ATLANTIC AVE","11762","7189351200","French","2023-01-17T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","2023-01-17T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Re-inspection",,,,,,,,,
"50178164","ARAMARK SERVICES INC","Manhattan","375","9 AVENUE","10001","7327785266",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.751670654827","-73.997556526155","104","03","010300","1089694","1007297505","MN13","POINT (-73.997556526155 40.751670654827)"
"50187733","BARBECUE CUISINE INC","0","N/A","N/A",,"9176822818",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,,,,,,,,,
"50186776","EXTRA SAUCE","Brooklyn","1495","DEKALB AVENUE","11237","7034244825",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.701689280709","-73.921813576502","304","37","042900","3073627","3032360051","BK77","POINT (-73.921813576502 40.701689280709)"
"41523349","STEVEN RESTAURANT","Bronx","2233","BOSTON ROAD","10467","7186527778","Latin American","2025-07-16T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0",,,"2026-06-29T06:00:20.000","Cycle Inspection / Reopening Inspection","40.858401090284","-73.867912101018","211","15","033201","2049738","2043390012","BX07","POINT (-73.867912101018 40.858401090284)"
"50186748","GUY MOLINARI FERRY BOATS TAVERN","Manhattan","4","SOUTH STREET","10004","2126191222",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.701687901075","-74.011631125861","101","01","000900","1085792","1000020001","MN25","POINT (-74.011631125861 40.701687901075)"
"50182112","TEAPULSE CENTRAL PARK LLC","Manhattan","1375B","AVENUE OF THE AMERICAS","10019","6463013772",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.763462768851","-73.977827941091","105","06","013700","1023394","1010080029","MN17","POINT (-73.977827941091 40.763462768851)"
"50179054","ANGELINA UNIONSQUARE LLC","Manhattan","25","UNION SQUARE WEST","10003","9296379468",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.736283185402","-73.990935622805","105","02","005200","1087304","1008430022","MN13","POINT (-73.990935622805 40.736283185402)"
"50186619","PURE EATS","Queens","26-50","BROOKLYN QUEENS EXPRESSWAY","11377","7182041740",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.761652825795","-73.902148856194","401","22","029700","4022555","4010190002","QN63","POINT (-73.902148856194 40.761652825795)"
"50186734","KHOBKHUN LLC","Brooklyn","226","ATLANTIC AVENUE","11201","9168864269",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.68942728623","-73.991619923421","302","33","004300","3339352","3002780026","BK38","POINT (-73.991619923421 40.68942728623)"
"50160839","JKCSNY INC","Manhattan","42","WEST   42 STREET","10036","9173253374",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.754068239421","-73.982321170752","105","04","008400","1000000","1012570002","MN17","POINT (-73.982321170752 40.754068239421)"
"50121215","J'S KITCHEN NEW YORK","Manhattan","261","1 AVENUE","10003","9172620434","Japanese","2025-05-31T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"2026-06-29T06:00:20.000","Inter-Agency Task Force / Initial Inspection","40.7320908592","-73.981894039686","106","02","004800","1020421","1009220020","MN21","POINT (-73.981894039686 40.7320908592)"
"50182283","THAYA","Queens","59-40","MYRTLE AVENUE","11385","6463069213",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.700501572334","-73.898311491561","405","34","055700","4086686","4035870027","QN20","POINT (-73.898311491561 40.700501572334)"
"50184334","WENG JI LLC","Brooklyn","5823","7 AVENUE","11220","3476427777",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.637781346307","-74.010740791609","307","43","010400","3016179","3008580001","BK34","POINT (-74.010740791609 40.637781346307)"
"41032752","DONS BOGAM","Manhattan","1517","EAST   32 STREET",,"2126832200","Korean","2024-01-31T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","28",,,"2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50187489","The Addison","Manhattan","214","WEST   39 STREET","10018","7023270495","Other","2026-06-13T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","N",,"2026-06-29T06:00:20.000","Inter-Agency Task Force / Initial Inspection","40.754414918467","-73.989049030637","105","03","011300","1080568","1007887501","MN17","POINT (-73.989049030637 40.754414918467)"
"50185993","OYATTE LLC","Manhattan","125","EAST   39 STREET","10016","9175139684",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.749670336248","-73.977742320312","106","04","008000","1019467","1008950018","MN20","POINT (-73.977742320312 40.749670336248)"
"50134692","MILAGRO TEQUILA BAR","Queens","126","Roosevelt Avenue",,"4072277372","American","2025-09-13T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2025-09-13T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",,
"50147737","NEW MAYLIN GARDEN","Brooklyn","5506","8 AVENUE","11220","7188160200",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.638204347715","-74.006745015032","307","43","010600","3015158","3008340039","BK34","POINT (-74.006745015032 40.638204347715)"
"50114299","SERENECO","0","113","FRANKLIN ST","07307","9144177306","New American","2023-03-23T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","31",,,"2026-06-29T06:00:20.000","Pre-permit (Operational) / Initial Inspection",,,,,,,,,
"50184474","THE ZONE 2","Queens","43-20","31 AVENUE","11103","7185843333",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.760065218018","-73.914467581793","401","22","015300","4011897","4006940001","QN70","POINT (-73.914467581793 40.760065218018)"
"50180421","LINCOLN STATION","Brooklyn","170","7 AVENUE","11215","7186735005",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.671803926156","-73.977494431408","306","39","015700","3020693","3009660048","BK37","POINT (-73.977494431408 40.671803926156)"
"50180132","SUGAR POP 512 LLC","Brooklyn","512","KINGS HIGHWAY","11223","3478921919",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.604343882121","-73.970692848753","315","44","041401","3178574","3066810146","BK25","POINT (-73.970692848753 40.604343882121)"
"50182044","CORK","Manhattan","193","FRONT STREET","10038","5163194980",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.706719584814","-74.004036035971","101","01","001502","1081996","1000740001","MN25","POINT (-74.004036035971 40.706719584814)"
"50181564","COFFEE PROJECT NY","Manhattan","840","9 AVENUE","10019","3473226877",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.766551990714","-73.986689647167","104","03","013900","1025421","1010450061","MN15","POINT (-73.986689647167 40.766551990714)"
"50181998","CNY BAGEL & PIZZA SHOP","Queens","95-15","NORTHERN BOULEVARD","11372","7184409580",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.756872965942","-73.872889648268","403","21","035300","4431389","4014250033","QN27","POINT (-73.872889648268 40.756872965942)"
"50179643","SOMEDAYS BAKERY","Manhattan","297","PARK AVENUE SOUTH","10010","7189284541",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.740010135239","-73.986474843351","105","02","006800","1018011","1008780004","MN21","POINT (-73.986474843351 40.740010135239)"
"50178987","MAMA DORA BAR & LOUNGE","Bronx","255","EAST BURNSIDE AVENUE","10457","3475579390",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.85157652415","-73.902471511524","205","15","038100","2013679","2031560092","BX41","POINT (-73.902471511524 40.85157652415)"
"50182166","IRIE CARIBBEAN KITCHEN LIQ LLC","Brooklyn","126","UTICA AVENUE","11213","3472800290",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.674587529176","-73.930580581922","308","36","030900","3330825","3013540050","BK61","POINT (-73.930580581922 40.674587529176)"
"50179663","TAXI CAFE","Queens","BLDG 187","CENTRAL TAXI HOLD LOT","11430","8455855146",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,,,,,,,,,
"50184859","133 GREENWICH LLC","Manhattan","133","GREENWICH STREET","10006","6464344649",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.709460951991","-74.012930997635","101","01","001300","1089248","1000520008","MN25","POINT (-74.012930997635 40.709460951991)"
"50135622","CIGNATURE","Queens","245-11","FRANCIS LEWIS BOULEVARD","11422","3475997660",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.664791285643","-73.734910318699","413","31","065400","4289377","4136140045","QN05","POINT (-73.734910318699 40.664791285643)"
"50178295","THE VAUX SOCIAL","Brooklyn","570","VANDERBILT AVENUE","11238","3473654401",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.67958315893","-73.968179174958","308","35","016300","3027882","3011370056","BK64","POINT (-73.968179174958 40.67958315893)"
"50075248","PLANTSHED","0","555","COLUMBUS AVE","10550","2126624400","Coffee/Tea","2022-11-30T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","37","C","2022-11-30T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Re-inspection",,,,,,,,,
"50188492","Dear Pasta","Manhattan","785","8 AVENUE","10036","9176034288",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.760851182328","-73.987156450674","104","03","012700","1087980","1010387501","MN15","POINT (-73.987156450674 40.760851182328)"
"50173757","THE LAMBS CLUB","Manhattan","132","WEST   44 STREET","10036","2129975262",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.756547028651","-73.984179419536","105","04","011900","1022617","1009960046","MN17","POINT (-73.984179419536 40.756547028651)"
"50183812","GUAC TIME","Manhattan","1390","SAINT NICHOLAS AVENUE","10033","9174070519",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.84832748517","-73.934439613645","112","10","026100","1063625","1021530036","MN36","POINT (-73.934439613645 40.84832748517)"
"50175209","SIBERIA","Manhattan",,"1000 S. 8TH AVE","10019","9173498922",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,,,,,,,,,
"50107193","NUTRIPLATES","Queens","21918","HORACE HARDING EXPRESS  WAY",,"7182813031","American","2026-06-24T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","12","A","2026-06-24T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Re-inspection","0","0",,,,,"4",,
"50146907","GO NEW YORK TOURS, INC","Manhattan","307","WEST   38 STREET","10018","6468530403",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.754939423312","-73.992174723398","104","03","011500","1013643","1007627503","MN15","POINT (-73.992174723398 40.754939423312)"
"50117958","HMS HOST (Terminal B. America Airlines Club)","Queens",,"LAGUARDIA AIRPORT","11369","6318064669",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,,,,,,,,,
"41696014","NOISETTE","Queens","24-21","STEINWAY STREET","11103","7184409001","French","2024-10-30T00:00:00.000","Establishment re-closed by DOHMH.","04M","Live roaches in facility's food or non-food area.","Critical","27",,,"2026-06-29T06:00:20.000","Cycle Inspection / Reopening Inspection","40.768601627952","-73.911131591188","401","22","014100","4011502","4006860008","QN70","POINT (-73.911131591188 40.768601627952)"
"50171035","AREPAS BROOKLYN","Queens","55-28","MYRTLE AVENUE","11385","3472782937",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.699957664059","-73.907512401079","405","34","055300","4085418","4035450050","QN20","POINT (-73.907512401079 40.699957664059)"
"50167097","CIELO NYC CORP","Queens","88-19","31 AVENUE","11369","9178537109",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.759877809136","-73.879912011209","403","25","033900","4624910","4013860035","QN28","POINT (-73.879912011209 40.759877809136)"
"50184072","PANCAFE","Queens","90-40","160 STREET","11432","2014814050",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.704925654032","-73.799905852626","412","24","044601","4441658","4097560054","QN61","POINT (-73.799905852626 40.704925654032)"
"50176826","NATURE OF THINGS","Manhattan","31","CROSBY STREET","10013","9492932240",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.720770126763","-73.999563481943","102","01","004500","1007018","1004730028","MN24","POINT (-73.999563481943 40.720770126763)"
"50182605","DZHURBENKO LLC","Manhattan","206","EAST    6 STREET","10003","6462386628",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.728128438115","-73.990316162512","103","02","003800","1006612","1004610011","MN22","POINT (-73.990316162512 40.728128438115)"
"50187422","NICOLANGELO'S ON PEARL LLC","Manhattan","77","PEARL STREET","10004","3475866016",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.703946975231","-74.010297052389","101","01","000900","1000836","1000290022","MN25","POINT (-74.010297052389 40.703946975231)"
"50185272","A B CARIBBEAN RESTAURANT AND BAKERY INC.","Brooklyn","4204","AVENUE D","11203","3473652022",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.641653810507","-73.936870295884","317","45","083800","3112822","3049760002","BK91","POINT (-73.936870295884 40.641653810507)"
"50178960","La Palapa","Manhattan","1","BRYANT PARK","10036","9172737833",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.755174607232","-73.983880161752","105","04","011900","1087268","1009950033","MN17","POINT (-73.983880161752 40.755174607232)"
"50187558","ABOVE NYC ROOFTOP","Manhattan","269","WEST   36 STREET","10018","3477335626",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.753040000624","-73.991489172478","105","03","010900","1083624","1007860001","MN17","POINT (-73.991489172478 40.753040000624)"
"50167927","LAUNDRY & LATTE","0","6","COLUMBIA PL","08550","2127298402","Coffee/Tea","2025-05-16T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","P","2025-05-16T00:00:00.000","2026-06-29T06:00:20.000","Pre-permit (Operational) / Reopening Inspection",,,,,,,,,
"50179767","CEDAR BROS CORP","Brooklyn","271","BAY RIDGE AVENUE","11220","6463397841",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.635912311744","-74.026590008197","310","47","006800","3145156","3058620055","BK31","POINT (-74.026590008197 40.635912311744)"
"40380353","G & S PIZZERIA INC.","Queens","107-21","71 AVENUE","11375",,,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.720489173461","-73.844592932003","406","29","071100","4521473","4032390017","QN17","POINT (-73.844592932003 40.720489173461)"
"50119389","TERIYAKI ONE","0","2510","HYLAN BLVD","10306","9176883039","Japanese","2023-10-23T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","30",,,"2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection",,,,,,,,,
"50134842","THE MIGRANT KITCHEN","Manhattan","1802","E 65 ST",,"9174824644",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"0","0",,,,,"1",,
"50185987","JOLLIBEE","Bronx","2865","3 AVENUE","10455","5166972297",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.816370259662","-73.917104531349","201","17","006500","2000867","2023280043","BX34","POINT (-73.917104531349 40.816370259662)"
"50168205","ROLL OVER KIMBAP","Brooklyn","394","MCGUINNESS BOULEVARD","11222","6315909330",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.736432933715","-73.952567072969","301","33","057900","3063794","3024890004","BK76","POINT (-73.952567072969 40.736432933715)"
"50178492","CUDDLE CREPES LLC","Manhattan","20","UNION SQUARE WEST","10003","5168005078",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.736609791786","-73.990679378381","105","02","005200","1016108","1008450002","MN13","POINT (-73.990679378381 40.736609791786)"
"50183289","THE STATION","Queens","35-32","UNION STREET","11354","9294167777",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.764862064103","-73.827969675586","407","20","086900","4311697","4049610029","QN22","POINT (-73.827969675586 40.764862064103)"
"50188143","FARMSTAND MEATS INC","Manhattan","350","11 AVENUE","10001","6096474842",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.754242479545","-74.003089652404","104","03","009900","1090809","1007020180","MN13","POINT (-74.003089652404 40.754242479545)"
"50168901","BIG TOTS LITTLE TIKES","Manhattan","2451","FREDERICK DOUGLAS BOULEVARD","10027","5167703866",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.814181740231","-73.948248495112","110","09","021500","1059415","1019580018","MN03","POINT (-73.948248495112 40.814181740231)"
"50148458","LUNA PARK AT WEST 12TH STREET / URBAN LEGEND","Brooklyn","1105","BOARDWALK WEST","11224","7183735862",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.573255482214","-73.97893880279","313","47","035200","3000000","3086950500","BK21","POINT (-73.97893880279 40.573255482214)"
"50182730","WEST STREET COFFEE","Brooklyn","67","WEST STREET","11222","3472249831",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.728654033054","-73.959081492437","301","33","056500","3337599","3025640001","BK76","POINT (-73.959081492437 40.728654033054)"
"50181040","Tabletime","Manhattan","20","EAST   42 STREET","10017","2126824242",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.753162117668","-73.980173849899","105","04","008200","1035340","1012760065","MN20","POINT (-73.980173849899 40.753162117668)"
"50160850","CRUMBL COOKIES","Manhattan","42","WEST   42 STREET","10036","3104350023",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.754068239421","-73.982321170752","105","04","008400","1000000","1012570002","MN17","POINT (-73.982321170752 40.754068239421)"
"41701458","MINNOW","Queens",,"LA GUARDIA AIRPORT","11369","9292496141","Japanese","2017-03-01T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","2","A","2017-03-01T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection",,,,,,,,,
